         4715341 function calls (4704452 primitive calls) in 2.289 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    2.289    2.289 groth_protocol.py:46(<module>)
        1    0.000    0.000    1.723    1.723 groth_protocol.py:263(gen_proof)
       21    0.007    0.000    1.707    0.081 ecc.py:318(__mul__)
     2546    0.035    0.000    1.059    0.000 ecc.py:876(double)
154780/144376    0.328    0.000    0.918    0.000 zfield.py:876(__init__)
    64595    0.104    0.000    0.651    0.000 zfield.py:914(__mul__)
     1276    0.017    0.000    0.649    0.001 ecc.py:807(__add__)
  1635967    0.233    0.000    0.635    0.000 {isinstance}
   432721    0.333    0.000    0.541    0.000 abc.py:128(__instancecheck__)
     4478    0.020    0.000    0.513    0.000 z2field_element.py:131(__mul__)
        1    0.000    0.000    0.506    0.506 groth_protocol.py:67(__init__)
        1    0.000    0.000    0.504    0.504 groth_protocol.py:167(init_vars)
        1    0.076    0.076    0.502    0.502 zfield.py:355(find_roots)
        8    0.001    0.000    0.351    0.044 {map}
     5105    0.308    0.000    0.350    0.000 zfield.py:265(inv)
    22971    0.032    0.000    0.283    0.000 zfield.py:444(__add__)
   154793    0.101    0.000    0.282    0.000 zfield.py:424(__init__)
    20455    0.028    0.000    0.248    0.000 zfield.py:466(__sub__)
     1737    0.010    0.000    0.193    0.000 z2field_element.py:117(square)
     3871    0.004    0.000    0.180    0.000 ecc.py:759(__init__)
   165727    0.126    0.000    0.177    0.000 bigint.py:61(__init__)
     3874    0.016    0.000    0.173    0.000 ecc.py:87(__init__)
   702221    0.171    0.000    0.171    0.000 _weakrefset.py:70(__contains__)
    15385    0.023    0.000    0.144    0.000 zfield.py:724(__lshift__)
     1443    0.002    0.000    0.091    0.000 z2field_element.py:98(__sub__)
    10404    0.013    0.000    0.091    0.000 zfield.py:547(__mod__)
        5    0.011    0.002    0.075    0.015 __init__.py:1(<module>)
     5459    0.009    0.000    0.073    0.000 zfield.py:488(__neg__)
   267192    0.058    0.000    0.058    0.000 bigint.py:377(as_long)
     1957    0.004    0.000    0.057    0.000 z2field_element.py:79(__add__)
        1    0.002    0.002    0.056    0.056 __init__.py:106(<module>)
     1443    0.003    0.000    0.047    0.000 z2field_element.py:104(__neg__)
    10275    0.009    0.000    0.045    0.000 zfield.py:646(__eq__)
        1    0.000    0.000    0.045    0.045 add_newdocs.py:10(<module>)
   434251    0.038    0.000    0.038    0.000 {getattr}
   329156    0.036    0.000    0.036    0.000 zfield.py:223(is_init)
     1397    0.003    0.000    0.034    0.000 z2field_element.py:180(__lshift__)
     4333    0.005    0.000    0.032    0.000 z2field_element.py:209(__eq__)
        1    0.000    0.000    0.030    0.030 type_check.py:3(<module>)
   165376    0.026    0.000    0.026    0.000 zfield.py:185(get_extended_p)
    10471    0.011    0.000    0.024    0.000 z2field_element.py:51(__init__)
     5098    0.005    0.000    0.020    0.000 ecc.py:226(is_inf)
     5461    0.006    0.000    0.013    0.000 bigint.py:143(__sub__)
        1    0.000    0.000    0.013    0.013 __init__.py:7(<module>)
